id_mascota,nombre,especie,raza,edad_años,peso_kg,fecha_consulta,dueño_nombre,dueño_email,motivo_consulta,costo_consulta
1,Firulais,perro,Labrador,3.0,28.5,2023-03-15,Juan Pérez,juan.perez@gmail.com,Control rutinario,25000.0
2,FIRULAIS,perro,labrador,3.0,28.5,2023-03-15,Juan Pérez,juan.perez@gmail.com,Control rutinario,25000.0
3,Mishi,gato,Siamés,5.0,4.2,2023-04-15,,ana.gomez@hotmail.com,Vacunación,18000.0
4,Rex,perro,Pastor Alemán,7.0,24.6,2023-05-20,Carlos Muñoz,rex_owner@vet.com,Revisión general,30000.0
5,Pelusa,gato,Persa,2.0,3.8,2023-06-01,María Torres,pelusa@gmail.com,Desparasitación,15000.0
6,,,,4.0,5.95,,,,,
7,Coco,perro,Chihuahua,1.0,2.1,2023-07-10,Roberto Lagos,coco@gmail.com,Primera consulta,20000.0
8,Luna,gato,Angora,5.0,4.8,2023-07-22,Claudia Vega,luna.vega@gmail.com,Revisión dental,35000.0
9,Toby,perro,Golden Retriever,4.0,32.1,2023-08-22,Pedro Álvarez,toby@mail.cl,Control rutinario,25000.0
10,Nala,gato,Doméstico,5.0,3.5,2023-09-05,Isabel Rojas,nala.rojas@gmail.com,Esterilización,80000.0
11,Max,perro,Bulldog,6.0,28.9,2023-09-18,Fernando Soto,max.soto@gmail.com,Vacunación,18000.0
12,Whiskers,gato,Maine Coon,3.0,6.2,2023-09-30,Valentina Cruz,whiskers@gmail.com,Revisión general,25000.0
13,Bella,perro,Beagle,2.0,10.5,2023-10-12,Andrés Mora,bella.mora@gmail.com,Desparasitación,15000.0
14,Simba,gato,Bengalí,1.0,4.1,2023-10-25,Carolina Díaz,simba@mail.cl,Vacunación,18000.0
15,Rocky,perro,Boxer,5.0,30.2,2023-11-08,Diego Herrera,rocky@gmail.com,Control cardíaco,45000.0
16,Michi,gato,Doméstico,8.0,4.9,2023-11-08,Patricia Flores,michi.flores@hotmail.com,Revisión general,25000.0
17,Zeus,perro,Rottweiler,4.0,45.3,2023-11-20,Gonzalo Reyes,zeus@gmail.com,Control rutinario,25000.0
18,Pelusa,gato,Persa,2.0,3.8,2023-11-28,María Torres,pelusa@gmail.com,Control post-cirugía,30000.0
19,Kira,perro,Husky,3.0,22.7,2023-12-05,Sofía Martínez,kira@gmail.com,Vacunación,18000.0
20,Garfield,gato,Doméstico,10.0,4.2,2023-12-10,Jorge Castillo,garfield@gmail.com,Control de peso,25000.0
21,Lola,perro,Caniche,4.0,5.2,2023-12-18,Camila Ortiz,lola.ortiz@gmail.com,Revisión dental,35000.0
22,Nemo,pez,Payaso,,0.05,2024-01-08,Ricardo Pinto,nemo@gmail.com,Revisión general,15000.0
23,Manchas,gato,Doméstico,6.0,4.3,2024-01-08,Elena Vargas,manchas@mail.cl,Desparasitación,15000.0
24,Bruno,perro,Labrador,9.0,33.8,2024-01-22,Tomás Ibáñez,bruno@gmail.com,Control geriátrico,40000.0
